iter	RMSE
354	1602.997019
355	1602.889828
356	1602.674169
357	1602.244705
358	1601.607401
359	1601.245536
360	1601.118402
361	1600.846285
362	1600.392699
363	1600.056824
364	1599.77002
365	1599.616006
366	1599.475235
367	1598.916702
368	1598.584364
369	1598.278217
370	1598.12594
371	1597.900222
372	1597.380084
373	1597.284506
374	1597.173536
375	1596.965652
376	1596.73731
377	1596.320495
378	1595.437801
379	1594.968925
380	1594.506445
381	1594.29496
382	1593.999535
383	1593.847855
384	1593.68182
385	1593.444297
386	1593.169069
387	1592.298729
388	1591.547349
389	1591.373213
390	1591.258982
391	1591.145259
392	1591.011819
393	1590.851712
394	1590.510704
395	1590.349185
396	1590.251229
397	1589.541613
398	1589.317639
399	1589.028688
400	1588.903638
401	1588.732509
402	1588.129596
403	1587.794222
404	1587.573809
405	1587.390311
406	1587.317179
407	1587.141711
408	1587.137
409	1586.700768
410	1586.535243
411	1586.391403
412	1586.277227
413	1586.04444
414	1585.981422
415	1585.712817
416	1585.592083
417	1585.360554
418	1584.91248
419	1584.471916
420	1584.362108
421	1584.266396
422	1584.148604
423	1584.073897
424	1583.676052
425	1583.453407
426	1583.265915
427	1583.114027
428	1582.786812
429	1582.730325
430	1582.69841
431	1582.538635
432	1582.439549
433	1582.437913
434	1582.280895
435	1582.19594
436	1581.955761
437	1581.780359
438	1581.678754
439	1581.579035
440	1581.474077
441	1581.094545
442	1580.943996
443	1580.391847
444	1579.920936
445	1579.565741
446	1579.150435
447	1578.990537
448	1578.796078
449	1578.685823
450	1578.576375
451	1578.360853
452	1578.082004
453	1577.719169
454	1577.479684
455	1576.894926
456	1576.715708
457	1576.619298
458	1576.044724
459	1575.970223
460	1575.66757
461	1575.483494
462	1575.299255
463	1575.183075
464	1574.917253
465	1574.689569
466	1574.43784
467	1574.303314
468	1574.099925
469	1573.963277
470	1573.895447
471	1573.441459
472	1573.059654
473	1572.870593
474	1572.478919
475	1572.395904
476	1571.72647
477	1571.637535
478	1571.252135
479	1571.095618
480	1570.958708
481	1570.80124
482	1570.163637
483	1569.859488
484	1569.493003
485	1569.393925
486	1569.186058
487	1568.906653
488	1568.815525
489	1568.460529
490	1568.434751
491	1567.993343
492	1567.897479
493	1567.719583
494	1567.293662
495	1567.163764
496	1567.025082
497	1566.815837
498	1566.297787
499	1566.108327
500	1565.65343
501	1565.430296
502	1565.321756
503	1565.115245
504	1564.803431
505	1564.288848
506	1564.116
507	1564.038341
508	1563.706159
509	1563.47869
510	1563.299391
511	1563.140903
512	1562.98457
513	1562.857521
514	1562.464738
515	1562.07241
516	1561.731661
517	1561.239925
518	1561.222032
519	1560.914049
520	1560.761079
521	1560.689086
522	1560.342521
523	1559.850174
524	1559.749854
525	1559.621477
526	1559.422463
527	1559.24629
528	1558.898687
529	1558.874179
530	1558.808918
531	1558.600782
532	1558.215178
533	1557.931191
534	1557.73267
535	1557.637529
536	1557.530149
537	1557.342549
538	1557.256154
539	1557.155501
540	1557.060145
541	1556.930293
542	1556.822501
543	1556.492196
544	1556.491538
545	1556.363098
546	1556.215738
547	1555.799415
548	1555.674395
549	1555.5497
550	1555.42096
551	1555.098435
552	1554.644134
553	1554.429267
554	1554.017155
555	1553.793013
556	1553.613979
557	1553.344006
558	1552.747296
559	1552.632667
560	1552.536795
561	1552.442694
562	1552.381661
563	1552.210718
564	1551.957441
565	1551.882629
566	1551.587531
567	1551.461859
568	1551.384816
569	1551.207981
570	1551.129346
571	1550.981879
572	1550.854159
573	1550.716788
574	1550.563877
575	1550.298857
576	1550.090726
577	1550.019351
578	1549.928349
579	1549.832454
580	1549.631315
581	1548.842109
582	1548.527359
583	1548.475848
584	1548.420582
585	1548.40427
586	1548.312935
587	1548.164648
588	1548.139474
589	1547.719152
590	1547.668443
591	1547.377152
592	1547.362499
593	1547.128133
594	1546.939119
595	1546.793615
596	1546.513469
597	1546.313113
598	1546.20004
599	1546.118816
600	1546.092548
601	1545.621216
602	1545.419579
603	1545.303043
604	1545.202961
605	1545.117224
606	1545.06005
607	1544.951908
608	1544.791706
609	1544.500718
610	1544.332524
611	1544.255685
612	1544.186856
613	1543.979241
614	1543.833214
615	1543.6386
616	1543.492766
617	1543.260904
618	1543.069221
619	1542.902058
620	1542.835656
621	1542.776276
622	1542.633524
623	1542.536266
624	1542.222769
625	1542.070756
626	1541.751514
627	1541.648285
628	1541.220241
629	1540.975824
630	1540.937943
631	1540.769963
632	1540.615157
633	1540.541819
634	1540.245614
635	1540.007021
636	1539.930774
637	1539.561931
638	1539.455928
639	1539.420863
640	1539.326753
641	1539.292545
642	1539.290193
643	1539.067583
644	1538.931777
645	1538.872331
646	1538.788792
647	1538.607534
648	1538.415143
649	1538.068575
650	1537.7966
651	1537.662812
652	1537.520917
653	1537.36045
654	1537.263832
655	1536.996905
656	1536.939164
657	1536.772868
658	1536.591701
659	1536.408051
660	1536.118668
661	1535.77443
662	1535.727026
663	1535.623139
664	1535.317998
665	1535.187951
666	1534.970289
667	1534.889442
668	1534.735829
669	1534.574644
670	1534.39734
671	1534.34395
672	1534.322387
673	1534.182592
674	1534.131544
675	1533.81566
676	1533.30483
677	1533.21124
678	1532.850289
679	1532.687275
680	1532.538087
681	1532.380334
682	1532.299401
683	1532.170392
684	1532.053744
685	1532.00403
686	1531.951058
687	1531.670113
688	1531.494778
689	1531.409098
690	1531.071252
691	1530.959276
692	1530.802396
693	1530.705945
694	1530.520141
695	1530.459445
696	1530.378656
697	1530.040768
698	1529.931801
699	1529.878237
700	1529.807093
701	1529.633285
702	1529.530662
703	1529.125191
704	1528.725966
705	1528.65875
706	1528.437166
707	1528.343082
708	1528.142484
709	1528.060686
710	1527.94299
711	1527.903476
712	1527.7361
713	1527.620687
714	1527.443437
715	1527.381778
716	1527.118979
717	1526.813111
718	1526.753987
719	1526.588941
720	1526.531908
721	1526.334842
722	1526.171731
723	1526.088744
724	1525.952391
725	1525.8668
726	1525.767374
727	1525.341503
728	1525.262068
729	1524.881593
730	1524.672715
731	1524.417753
732	1524.313807
733	1524.252676
734	1524.163331
735	1523.988855
736	1523.877903
737	1523.600375
738	1523.544255
739	1523.292377
740	1523.080446
741	1523.019248
742	1522.899586
743	1522.690793
744	1522.545438
745	1522.411087
746	1522.295951
747	1522.177488
748	1521.955091
749	1521.579893
750	1521.36193
751	1521.142706
752	1521.073765
753	1520.661153
754	1520.326465
755	1520.205544
756	1520.046153
757	1519.911428
758	1519.823766
759	1519.73233
760	1519.54542
761	1519.415602
762	1519.020684
763	1518.763732
764	1518.69243
765	1518.572634
766	1518.321737
767	1518.250637
768	1518.20387
769	1518.159323
770	1517.933324
771	1517.891044
772	1517.859743
773	1517.831286
774	1517.671063
775	1517.430251
776	1517.355428
777	1517.202373
778	1517.053258
779	1516.618679
780	1516.514611
781	1516.316778
782	1516.032789
783	1515.905271
784	1515.79034
785	1515.714465
786	1515.646395
787	1515.578667
788	1515.495039
789	1515.437503
790	1515.308787
791	1515.215289
792	1515.00724
793	1514.661671
794	1514.611659
795	1514.546363
796	1514.465795
797	1514.358575
798	1514.292656
799	1514.074311
800	1514.016344
801	1513.714099
802	1513.655121
803	1513.577048
804	1513.507338
805	1513.384468
806	1513.323555
807	1513.207364
808	1513.103353
809	1513.008009
810	1512.923841
811	1512.449548
812	1512.360685
813	1512.129854
814	1512.039516
815	1511.860038
816	1511.75127
817	1511.705557
818	1511.641757
819	1511.576869
820	1511.419873
821	1511.372122
822	1511.089905
823	1510.923881
824	1510.863453
825	1510.772236
826	1510.48655
827	1510.420804
828	1510.385678
829	1510.177787
830	1509.933349
831	1509.765724
832	1509.725933
833	1509.712659
834	1509.648983
835	1509.557821
836	1509.313908
837	1509.274579
838	1509.219609
839	1509.130795
840	1508.988453
841	1508.886878
842	1508.793915
843	1508.670653
844	1508.41291
845	1508.277789
846	1508.230692
847	1508.03287
848	1507.627307
849	1507.480367
850	1507.313357
851	1507.221227
852	1507.00685
853	1506.991976
854	1506.951724
855	1506.888447
856	1506.817794
857	1506.733727
858	1506.634135
859	1506.593658
860	1506.535604
861	1506.228543
862	1506.148548
863	1506.094357
864	1506.01403
865	1505.783906
866	1505.733183
867	1505.645126
868	1505.55365
869	1505.509167
870	1505.445669
871	1505.370869
872	1505.317318
873	1505.205305
874	1505.044593
875	1504.977798
876	1504.839401
877	1504.635093
878	1504.546432
879	1504.463392
880	1504.417261
881	1504.346872
882	1504.286669
883	1504.26389
884	1504.204775
885	1503.933315
886	1503.8569
887	1503.749442
888	1503.695503
889	1503.600766
890	1503.548643
891	1503.424917
892	1503.292019
893	1503.236941
894	1503.021275
895	1502.784849
896	1502.714927
897	1502.501894
898	1502.409764
899	1502.190798
900	1502.10041
901	1502.067923
902	1501.849301
903	1501.420735
904	1501.391049
905	1501.124866
906	1501.024797
907	1500.971639
908	1500.868902
909	1500.811715
910	1500.72446
911	1500.555613
912	1500.430817
913	1500.31516
914	1500.220773
915	1500.166524
916	1500.019197
917	1499.631505
918	1499.578526
919	1499.495708
920	1498.84587
921	1498.754578
922	1498.727215
923	1498.720551
924	1498.223224
925	1498.090246
926	1498.009347
927	1497.940198
928	1497.620002
929	1497.522134
930	1497.387075
931	1497.3686
932	1497.312405
933	1497.142769
934	1496.976153
935	1496.867883
936	1496.691456
937	1496.630801
938	1496.381055
939	1496.290324
940	1496.023889
941	1495.795852
942	1495.648789
943	1495.572323
944	1495.444639
945	1495.341452
946	1495.289244
947	1495.252674
948	1495.166559
949	1495.106812
950	1495.034211
951	1494.99887
952	1494.924867
953	1494.825739
954	1494.67379
955	1494.434042
956	1494.322974
957	1494.286388
958	1494.22532
959	1493.992669
960	1493.652718
961	1493.368219
962	1493.349339
963	1493.267694
964	1493.184344
965	1493.075735
966	1493.040816
967	1492.948
968	1492.849547
969	1492.485372
970	1492.451455
971	1492.349243
972	1492.305645
973	1491.986803
974	1491.724266
975	1491.661204
976	1491.607064
977	1491.584825
978	1491.361162
979	1491.335605
980	1491.278598
981	1491.19761
982	1490.763854
983	1490.718091
984	1490.584119
985	1490.08201
986	1489.990801
987	1489.941973
988	1489.86478
989	1489.786165
990	1489.540261
991	1489.465327
992	1489.371429
993	1489.312017
994	1489.244814
995	1489.185653
996	1489.156308
997	1489.146815
998	1489.020461
999	1488.975057
